openTime,open,high,low,close,volume,closeTime
1754136000000,0.01786,0.01786,0.017717,0.017717,12922.81225521,1754157599999
1754157600000,0.01747,0.01747,0.01747,0.01747,1079.89607015,1754179199999
1754179200000,0.018008,0.018008,0.018008,0.018008,174534.006,1754200799999
1754200800000,0.018006,0.018008,0.018006,0.018008,116663.12158498,1754222399999
1754222400000,0.018245,0.018294,0.018236,0.018294,30223.15759053,1754243999999
1754244000000,0.018321,0.018321,0.018317,0.018317,192852.22504935,1754265599999
1754265600000,0.0185,0.0185,0.01829,0.01829,305724.11509057,1754287199999
1754287200000,0.018363,0.018363,0.018363,0.018363,5229.8,1754308799999
1754308800000,0.018615,0.0188,0.018615,0.018764,192059.54300122,1754330399999
1754330400000,0.018704,0.018822,0.018704,0.018822,1264.57529061,1754351999999
1754352000000,0.018708,0.018708,0.018566,0.018572,753.1770078,1754373599999
1754395200000,0.018699,0.018699,0.018089,0.018201,131670.65432324,1754416799999
1754416800000,0.018188,0.018188,0.01817,0.01817,3241.72774796,1754438399999
1754481600000,0.0185,0.0185,0.0185,0.0185,316.07795821,1754503199999
1754546400000,0.018638,0.018893,0.018638,0.018893,10179.6791373,1754567999999
1754568000000,0.019666,0.020026,0.018706,0.018805,3229466.41417941,1754589599999
1754589600000,0.018915,0.019204,0.018915,0.019176,473193.70655835,1754611199999
1754611200000,0.019088,0.01935,0.019088,0.019308,644268.65915668,1754632799999
1754632800000,0.019274,0.019532,0.019274,0.019449,6061.05450532,1754654399999
1754654400000,0.019464,0.019707,0.019464,0.019707,1330.58818239,1754675999999
1754676000000,0.019771,0.019808,0.019711,0.019712,59728.88030313,1754697599999
1754697600000,0.019728,0.020103,0.019728,0.020103,17789.56826778,1754719199999
1754719200000,0.019975,0.020164,0.019975,0.020164,33639.58813837,1754740799999
1754740800000,0.020158,0.020158,0.020158,0.020158,14523.72642132,1754762399999
1754762400000,0.020117,0.020117,0.020117,0.020117,14277.47586134,1754783999999
1754827200000,0.019753,0.019818,0.019736,0.019818,1016982.90772511,1754848799999
1754848800000,0.020185,0.020185,0.020101,0.020101,188660.44912624,1754870399999
1754870400000,0.020302,0.020394,0.020302,0.020394,59159.21000435,1754891999999
1754892000000,0.020217,0.020217,0.019759,0.019759,79328.13105955,1754913599999
1754935200000,0.01976,0.01976,0.019137,0.019157,883709.84169674,1754956799999
1754956800000,0.019359,0.01936,0.019359,0.01936,51602.2271582,1754978399999
1754978400000,0.018874,0.018874,0.018874,0.018874,2384.2322772,1754999999999
1755000000000,0.019457,0.020919,0.019457,0.020652,1705719.30045089,1755021599999
1755021600000,0.02065,0.020716,0.020318,0.02042,1445445.43248404,1755043199999
1755043200000,0.020458,0.020614,0.020458,0.020571,141573.6244108,1755064799999
1755064800000,0.020427,0.020886,0.020427,0.020746,201833.61901896,1755086399999
1755086400000,0.020306,0.020814,0.020306,0.020814,17830.52649924,1755107999999
1755108000000,0.020596,0.020825,0.020596,0.020825,45846.96495059,1755129599999
1755129600000,0.02079,0.020793,0.02073,0.02073,28979.58588747,1755151199999
1755151200000,0.020567,0.020567,0.020195,0.020195,363018.84460129,1755172799999
1755172800000,0.02026,0.020268,0.019099,0.019099,1426867.65040721,1755194399999
1755194400000,0.018985,0.019101,0.018985,0.019027,109616.6293997,1755215999999
1755237600000,0.019255,0.019355,0.019255,0.019355,11456.47124972,1755259199999
1755259200000,0.019216,0.019216,0.018376,0.018543,53614.9956194,1755280799999
1755280800000,0.018851,0.018851,0.018851,0.018851,81989.28438809,1755302399999
1755324000000,0.019174,0.01945,0.019011,0.01945,6858.57275855,1755345599999
1755345600000,0.01967,0.022,0.019174,0.0199,1588164.66188251,1755367199999
1755367200000,0.01979,0.019805,0.01976,0.01976,152333.63521734,1755388799999
1755388800000,0.019174,0.019174,0.019174,0.019174,23630.77645,1755410399999
1755410400000,0.01999,0.02022,0.01999,0.020063,55746.54019312,1755431999999
1755432000000,0.019995,0.019995,0.019964,0.019964,7257.47467395,1755453599999
1755453600000,0.019899,0.019899,0.019739,0.019782,11148.19982658,1755475199999
1755540000000,0.019417,0.019417,0.019214,0.019214,24990.0944673,1755561599999
1755561600000,0.018957,0.01902,0.018886,0.01902,7091.5160667,1755583199999
1755583200000,0.018994,0.021243,0.018994,0.019511,4860322.9297809,1755604799999
1755604800000,0.019886,0.020046,0.01884,0.01884,812600.22282986,1755626399999
1755626400000,0.018742,0.018819,0.018679,0.018708,68709.14809858,1755647999999
1755648000000,0.01869,0.01904,0.018629,0.01904,78561.66891489,1755669599999
1755669600000,0.019052,0.01945,0.019052,0.019056,157458.27481181,1755691199999
1755691200000,0.019338,0.019649,0.019338,0.019604,60730.62951201,1755712799999
1755712800000,0.019954,0.020155,0.019954,0.020079,41482.6491209,1755734399999
1755734400000,0.019919,0.019919,0.019769,0.019769,23667.1011519,1755755999999
1755799200000,0.019107,0.019401,0.019107,0.019401,539.5006324,1755820799999
1755842400000,0.019324,0.019324,0.018933,0.018933,7393.37881187,1755863999999
1755864000000,0.018812,0.019886,0.018597,0.019886,105215.70343213,1755885599999
1755885600000,0.019937,0.020719,0.019853,0.019853,522211.73244764,1755907199999
1755907200000,0.020725,0.020725,0.019457,0.020714,6917.33525,1755928799999
1755928800000,0.01979,0.01979,0.019527,0.019527,8441.64479422,1755950399999
1755950400000,0.019336,0.01948,0.019335,0.01948,19412.26091985,1755971999999
1756015200000,0.019034,0.019034,0.018949,0.018949,263691.40138676,1756036799999
1756036800000,0.019054,0.019479,0.019012,0.019479,151270.43138361,1756058399999
1756058400000,0.01953,0.01953,0.01918,0.019389,333691.48213318,1756079999999
1756080000000,0.019121,0.019121,0.01907,0.01907,720.89325872,1756101599999
1756101600000,0.018742,0.018771,0.018742,0.018771,190907.32706668,1756123199999
1756123200000,0.018621,0.018834,0.018621,0.018834,1702.29200244,1756144799999
1756144800000,0.018573,0.018573,0.018132,0.018132,91875.07603895,1756166399999
1756166400000,0.018309,0.018437,0.018307,0.018437,119050.59486217,1756187999999
1756188000000,0.018522,0.018522,0.018428,0.018441,34449.09886214,1756209599999
