openTime,open,high,low,close,volume,closeTime
1780934400000,0.070799,0.071651,0.07031,0.070444,198544.69304,1780937999999
1780938000000,0.070287,0.070951,0.069852,0.070881,121035.18003,1780941599999
1780941600000,0.070844,0.071212,0.070194,0.070313,174486.94717,1780945199999
1780945200000,0.070329,0.070784,0.070179,0.070259,80043.20795,1780948799999
1780948800000,0.070138,0.070635,0.069583,0.070601,264484.57367,1780952399999
1780952400000,0.070569,0.070957,0.070278,0.070519,129159.4922,1780955999999
1780956000000,0.070243,0.070243,0.069271,0.069437,59305.46126,1780959599999
1780959600000,0.069556,0.069647,0.068174,0.06834,190440.25607,1780963199999
1780963200000,0.068552,0.068983,0.067194,0.06768,362945.77364,1780966799999
1780966800000,0.067612,0.067981,0.067131,0.067268,64322.02742,1780970399999
1780970400000,0.067354,0.067354,0.065222,0.065456,62456.60733,1780973999999
1780974000000,0.065635,0.065829,0.065408,0.065829,25943.42829,1780977599999
1780977600000,0.065949,0.067248,0.065931,0.067075,28172.04135,1780981199999
1780981200000,0.067052,0.067352,0.066839,0.067165,1718.42499,1780984799999
1780984800000,0.06696,0.07086,0.06688,0.069791,428213.56337,1780988399999
1780988400000,0.069561,0.070712,0.068854,0.069218,280515.80193,1780991999999
1780992000000,0.069269,0.069269,0.068317,0.06871,119625.1156,1780995599999
1780995600000,0.068716,0.069694,0.068303,0.068363,173838.37351,1780999199999
1780999200000,0.068383,0.068594,0.067741,0.067869,41795.95897,1781002799999
1781002800000,0.068558,0.068626,0.068314,0.068626,4202.24344,1781006399999
1781006400000,0.068698,0.068962,0.06843,0.068684,28391.83241,1781009999999
1781010000000,0.069151,0.069466,0.068183,0.0685,381302.5834,1781013599999
1781013600000,0.068376,0.068376,0.066181,0.06717,176496.01829,1781017199999
1781017200000,0.067273,0.067598,0.066497,0.066803,78060.18495,1781020799999
1781020800000,0.066634,0.066634,0.065419,0.06593,25250.06363,1781024399999
1781024400000,0.066198,0.06751,0.066198,0.067103,24259.47571,1781027999999
1781028000000,0.067055,0.06749,0.066789,0.067363,5246.53975,1781031599999
1781031600000,0.067329,0.067815,0.067106,0.067814,8355.70765,1781035199999
1781035200000,0.067866,0.06896,0.067866,0.06896,75627.37749,1781038799999
1781038800000,0.069184,0.069184,0.068335,0.068335,74074.21358,1781042399999
1781042400000,0.068346,0.068927,0.068346,0.068422,6784.12484,1781045999999
1781046000000,0.068255,0.069671,0.068255,0.069515,14703.35377,1781049599999
1781049600000,0.069298,0.070009,0.069093,0.069093,97525.60546,1781053199999
1781053200000,0.06956,0.06956,0.069062,0.069062,2027.24458,1781056799999
1781056800000,0.069244,0.069579,0.068439,0.068879,4323.24263,1781060399999
1781060400000,0.068777,0.070232,0.068777,0.068798,131097.51132,1781063999999
1781064000000,0.068741,0.068753,0.067992,0.068129,10236.72114,1781067599999
1781067600000,0.067751,0.068406,0.06768,0.0683,3721.88759,1781071199999
1781071200000,0.068448,0.068578,0.068003,0.068306,6910.81226,1781074799999
1781074800000,0.068333,0.068909,0.068178,0.068178,6833.05128,1781078399999
1781078400000,0.068163,0.068163,0.067519,0.067912,5793.45714,1781081999999
1781082000000,0.067778,0.068227,0.067332,0.068227,2122.52983,1781085599999
1781085600000,0.06819,0.06819,0.06764,0.06764,1358.18815,1781089199999
1781089200000,0.068099,0.068099,0.06642,0.06642,235402.95395,1781092799999
1781092800000,0.06642,0.068128,0.06632,0.067475,20055.30121,1781096399999
1781096400000,0.06764,0.068373,0.067532,0.068373,4923.10338,1781099999999
1781100000000,0.068079,0.068152,0.066927,0.067441,175682.1685,1781103599999
1781103600000,0.067732,0.068239,0.067022,0.067892,98296.66452,1781107199999
1781107200000,0.06789,0.068313,0.06731,0.067814,9918.26623,1781110799999
1781110800000,0.068009,0.068291,0.067163,0.067365,93640.47387,1781114399999
1781114400000,0.067449,0.067449,0.066626,0.066654,19760.54913,1781117999999
1781118000000,0.066763,0.066763,0.066009,0.066009,6786.91129,1781121599999
1781121600000,0.065989,0.066083,0.065591,0.066034,55689.28079,1781125199999
1781125200000,0.064544,0.064599,0.064144,0.064144,1760.76299,1781128799999
1781128800000,0.06368,0.064921,0.063466,0.064873,52504.55182,1781132399999
